GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,ErrorEnums,34,0,0,0,2,0,1,0,1,0
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,TransactionExecute,20,40,1,1,2,7,2,1,1,1
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,ResponseTransaction,8,15,0,0,1,6,2,3,2,3
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,Decode,36,61,7,7,8,14,7,4,1,3
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,ProducType,61,49,0,0,7,10,5,5,5,5
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,RawTransactionManager,113,161,6,6,21,33,11,9,6,8
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,EventDecode,3,71,1,5,1,15,2,4,1,2
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,EventDecode.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,ErcUtil,3,28,0,0,1,4,1,2,1,2
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,HttpService,97,246,7,7,23,44,14,13,8,12
KayTrust Core SDK,id.kaytrust.core.utils.nat.lib,ProductBean,23,55,0,0,3,19,6,7,6,7
KayTrust Core SDK,id.kaytrust.core.credential.ethereum.client,EthereumCredentialValidationImpl,30,109,8,10,6,26,8,4,0,3
KayTrust Core SDK,id.kaytrust.core.credential.ethereum.client,EthereumCredentialValidation,0,8,0,0,0,1,0,1,0,1
KayTrust Core SDK,id.kaytrust.core.utils.didconnect,EthereumKeyUtils,91,126,4,2,16,27,7,5,4,5
KayTrust Core SDK,id.kaytrust.core.utils.didconnect,Secp256k1Utils,42,214,9,9,6,42,9,5,1,4
KayTrust Core SDK,id.kaytrust.core.utils.didconnect,Secp256k1Utils.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
KayTrust Core SDK,id.kaytrust.core.utils.didconnect,ECDSAHelper,56,390,14,20,13,81,14,12,0,9
KayTrust Core SDK,id.kaytrust.core.utils.model.did,Did,0,32,0,0,0,5,0,6,0,6
